,DTW distance,DTW time,DTW with global constraint time,Fast DTW time,DTW with global constraint diff,Fast DTW diff
count,100.0,100.0,100.0,100.0,100.0,100.0
mean,155.31724223384887,0.8690966296195984,0.02401789665222168,0.14882855176925658,7.487048624302138,8.118616757906773
std,1.7281163457352875,0.022658896145655336,0.002486421969717306,0.005700415558477806,1.999209347171082,3.4826874386170186
min,149.9560159996517,0.8427779674530029,0.021940946578979492,0.14261698722839355,2.986455138755531,0.4146812099971555
25%,154.34555494101528,0.8547227382659912,0.022938251495361328,0.14461344480514526,6.013873657332283,5.801761836142184
50%,155.30182510643775,0.8636895418167114,0.022939682006835938,0.14708960056304932,7.538226502101324,8.268883314368097
75%,156.37528017176842,0.87595134973526,0.02393639087677002,0.1508481502532959,8.736738964221004,10.363827880992694
max,159.37549190656162,0.9963364601135254,0.03690195083618164,0.17050814628601074,12.212940703911613,17.457839070355618
